 Hex signature 	ISO 8859-1 	Offset 	File extension 	Description
24 53 44 49 30 30 30 31 	$SDI0001 	0 		System Deployment Image, a disk image format used by Microsoft
44 43 4d 01 50 41 33 30 	DCM PA30 	0 		Windows Update Binary Delta Compression[32]
7F 45 4C 46 	.ELF 	0 		Executable and Linkable Format
CE FA ED FE 	........ 	0 		Mach-O binary (reverse byte ordering scheme, 32-bit)[9]
CF FA ED FE 	........ 	0 		Mach-O binary (reverse byte ordering scheme, 64-bit)[10]
EF BB BF 	ï»¿ 	0 		UTF-8 encoded Unicode byte order mark, commonly seen in text files.
FE ED FA CE 	........ 	0 or typically 0x1000 		Mach-O binary (32-bit)
FE ED FA CF 	........ 	0 or typically 0x1000 		Mach-O binary (64-bit)
FF FE 	.. 	0 		Byte-order mark for text file encoded in little-endian 16-bit Unicode Transfer Format
FF FE 00 00 	.... 	0 		Byte-order mark for text file encoded in little-endian 32-bit Unicode Transfer Format
00 01 00 00 	... 	0 	... 	Palm Desktop Data File (Access format)
00 00 00 nn 66 74 79 70

33 67 70
	....ftyp

3gp
	0 	3GG, 3GP, 3G2 	3rd Generation Partnership Project 3GPP (nn=0x14)

and 3GPP2 (nn=0x20) multimedia files
37 7A BC AF 27 1C 	7z¼¯' 	0 	7z 	7-Zip File Format
46 4F 52 4D nn nn nn nn 38 53 56 58 	FORM....8SVX 	0, any 	8svx, 8sv, svx, snd, iff 	IFF 8-Bit Sampled Voice
46 4F 52 4D nn nn nn nn 41 43 42 4D 	FORM....ACBM 	0, any 	acbm, iff 	Amiga Contiguous Bitmap
46 4F 52 4D nn nn nn nn 41 49 46 46 	FORM....AIFF 	0, any 	aiff, aif, aifc, snd, iff 	Audio Interchange File Format
46 4F 52 4D nn nn nn nn 41 4E 42 4D 	FORM....ANBM 	0, any 	anbm, iff 	IFF Animated Bitmap
46 4F 52 4D nn nn nn nn 41 4E 49 4D 	FORM....ANIM 	0, any 	anim, iff 	IFF CEL Animation
30 26 B2 75 8E 66 CF 11

A6 D9 00 AA 00 62 CE 6C
	0&²u.fÏ.

¦Ù.ª.bÎl
	0 	asf, wma, wmv 	Advanced Systems Format[11]
42 41 43 4b 4d 49 4b 45 44 49 53 4b 	BACKMIKEDISK 	0 	bac 	File or tape containing a backup done with AmiBack on an Amiga. It typically is paired with an index file (idx) with the table of contents.
42 4D 	BM 	0 	bmp, dib 	BMP file, a bitmap format used mostly in the Windows world
42 50 47 fb 	BPGû 	0 	bpg 	Better Portable Graphics format[5]
42 5A 68 	BZh 	0 	bz2 	Compressed file using Bzip2 algorithm
80 2A 5F D7 	.*_. 	0 	cin 	Kodak Cineon image
CA FE BA BE 	Êþº¾ 	0 	class 	Java class file, Mach-O Fat Binary
46 4F 52 4D nn nn nn nn 43 4D 55 53 	FORM....CMUS 	0, any 	cmus, mus, iff 	IFF Musical Score
49 49 2A 00 10 00 00 00 43 52 	II*.....CR 	0 	cr2 	Canon RAW Format Version 2[3]
Canon's RAW format is based on the TIFF file format [4]
43 72 32 34 	Cr24 	0 	crx 	Google Chrome extension[19] or packaged app[20]
05 07 00 00 42 4F 42 4F
05 07 00 00 00 00 00 00
00 00 00 00 00 01 	....BOBO............ 	0 	cwk 	AppleWorks 5 document
06 07 E1 00 42 4F 42 4F
06 07 E1 00 00 00 00 00
00 00 00 00 00 01 	....BOBO............ 	0 	cwk 	AppleWorks 6 document
50 4D 4F 43 43 4D 4F 43 	PMOCCMOC 	0 	dat 	Windows Files And Settings Transfer Repository[25] See also USMT 3.0 (Win XP)[26] and USMT 4.0 (Win 7)[27] User Guides
00 01 42 44 	... 	0 	DBA 	Palm Desktop To Do Archive
BE BA FE CA 	... 	0 	DBA 	Palm Desktop Calendar Archive
64 65 78 0A 30 33 35 00 	dex
035 	0 	dex 	Dalvik Executable
78 01 73 0D 62 62 60 	x.s.bb` 	0 	dmg 	Apple Disk Image file
D0 CF 11 E0 A1 B1 1A E1 			doc, xls, ppt 	Microsoft Office documents[16]
53 44 50 58 (big endian format) or
58 50 44 53 (little endian format) 	SDPX or
XPDS 	0 	dpx 	SMPTE DPX image
4D 5A 	MZ 	0 	exe 	DOS MZ executable file format and its descendants (including NE and PE)
76 2F 31 01 	v/1. 	0 	exr 	OpenEXR image
46 4F 52 4D nn nn nn nn 46 41 58 58 	FORM....FAXX 	0, any 	faxx, fax, iff 	IFF Facsimile Image
41 47 44 33 	AGD3 	0 	fh8 	FreeHand 8 document[21][22][23]
53 49 4d 50 4c 45 20 20

3d 20 20 20 20 20 20 20
20 20 20 20 20 20 20 20
20 20 20 20 20 54
	SIMPLE = T 	0 	fits 	Flexible Image Transport System (FITS)[13]
66 4C 61 43 	fLaC 	0 	flac 	Free Lossless Audio Codec[14]
46 4F 52 4D nn nn nn nn 46 54 58 54 	FORM....FTXT 	0, any 	ftxt, txt, iff 	IFF Formatted Text
47 49 46 38 37 61

47 49 46 38 39 61
	GIF87a

GIF89a
	0 	gif 	Image file encoded in the Graphics Interchange Format (GIF)[2]
00 00 01 00 	.... 	0 	ico 	Computer icon encoded in ICO file format[1]
49 4e 44 58 	INDX 	0 	idx 	Index file to a file or tape containing a backup done with AmiBack on an Amiga.
46 4F 52 4D nn nn nn nn 46 41 4E 54 	FORM....FANT 	0, any 	iff 	Amiga Fantavision Movie
46 4F 52 4D nn nn nn nn 49 4C 42 4D 	FORM....ILBM 	0, any 	ilbm, lbm, ibm, iff 	IFF Interleaved Bitmap Image
43 44 30 30 31 	CD001 	0x8001, 0x8801 or 0x9001 	iso 	ISO9660 CD/DVD image file[12]
FF D8 FF E0 	ÿØÿà 	0 	jpg, jpeg 	JPEG
4D 54 68 64 	MThd 	0 	mid, midi 	MIDI sound file[15]
4D 4C 56 49 	MLVI 	0 	MLV 	Magic Lantern Video file[31]
49 44 33 	ID3 	0 	mp3 	MP3 file with an ID3v2 container
FF FB 	˙ű 	0 	mp3 	MPEG-1 Layer 3 file without an ID3 tag or with an ID3v1 tag (which's appended at the end of the file)
00 00 00 nn 66 74 79 70

33 67 70 35
	....ftyp

3gp5
	0 	MP4 	MPEG-4 video files
