264	H.264/MPEG-4 AVC video file
sdw	OpenOffice.org text document file
shs	Microsoft Windows Shell Scrap Object file
snp	Microsoft Access report shapshot
sxw	OpenOffice.org Writer document file
tpl	Generally a template file
vsd	Microsoft Visio diagram document file
wlmp	Microsoft Windows Live Movie Maker video project file
wpd	Corel WordPerfect document file
wps	Microsoft Works document file
wri	Windows Write document file
xps	XML paper specification file
1st	Readme first text file
alx	BlackBerry application loader file
application	ClickOnce deployment manifest
asp	Active Server Page script page
csv	Comma Separated Value file
eng	English language localization file
htm	HTML Hypertext Markup Language web page file
html	HTML Hypertext Markup Language web page file
log	Log file
lrc	Lyric file
lst	List text file
nfo	Information readme text file
opml	OPML Outline Processor Markup Language file format
plist	Apple property list XML file
pts	PointCloud 3D file
reg	Windows registry data file
rep	Generally report file
rtf	Rich Text Format document
srt	SubRip video subtitle format
sub	DivX movie subtitle file format
tbl	Table file
text	Text file
txt	Simple text file
xml	XML document file
xsd	XML schema description file
xsl	XML eXtensible stylesheet
xslt	XSL transform file
azw	Amazon Kindle eBook file
azw3	Amazon Kindle eBook file
cbr	Comic Book Archive file or ComicBook Reader file
cbz	Comic Book Archive file or ComicBook Reader file
epub	Open Publication structure eBook file
fb2	FictionBook eBook file
iba	iBooks Author e-book file
ibooks	iBooks e-book file
lit	Microsoft Reader eBook file
mobi	Mobipocket eBook Format
pdf	Adobe Portable document format
numbers	Apple Numbers spreadsheet file
ods	OpenDocument spreadsheet file
sdc	OpenOffice.org spreadsheet file
sxc	OpenOffice.org 1.0 spreadsheet file
xls	Microsoft Excel 97 to 2003 workbook file
xlsm	Microsoft Excel Open XML macro-enabled workbook file
xlsx	Microsoft Excel Open XML workbook file
accdb	Microsoft Access main database file
accdt	Microsoft Access database template
doc	Microsoft Word 97 to 2003 document file
docm	Microsoft Word Open XML macro-enabled document file
docx	Microsoft Word Open XML document file
dot	Microsoft Word 97 to 2003 document template file
dotm	Microsoft Word Open XML macro-enabled document template file
dotx	Microsoft Word XML document template file
mdb	Microsoft Access database file
mpd	Microsoft Project database
mpp	Microsoft Project plan file
mpt	Microsoft Project template tile
one	Microsoft OneNote document file
onepkg	Microsoft OneNote package file
pot	Microsoft PowerPoint 97 to 2003 template file
potx	Microsoft PowerPoint Open XML presentation template file
pps	Microsoft PowerPoint 97 to 2003 complete slide show file
ppsx	Microsoft PowerPoint 2007/2010 Open XML complete slide show file
ppt	Microsoft PowerPoint 97 to 2003 presentation file
pptm	Microsoft PowerPoint macro-enabled Open XML presentation file
pptx	Microsoft PowerPoint Open XML presentation file
pst	Microsoft Outlook personal storage table file
pub	Microsoft Publisher document file
snp	Microsoft Access report shapshot
thmx	Microsoft Office 2007/2010 theme file
vsd	Microsoft Visio diagram document file
vsdx	Microsoft Visio drawing file
xls	Microsoft Excel 97 to 2003 workbook file
xlsm	Microsoft Excel Open XML macro-enabled workbook file
xlsx	Microsoft Excel Open XML workbook file
big	Electronic Arts game resource package file
bik	BINK video file
cab	Windows Cabinet Compressed Archive
dat	Game data file
hi	High scores file
lng	Language definition file
pak	Game resource package file
res	Game resource file
sav	Saved game file
save	Doom 3 saved game file
SC2Replay	Starcraft 2 game replay file
scn	Game scenario file
scx	Game scenario file
uax	Unreal audio package file
wotreplay	World of Tanks battle recording file
wowpreplay	World of Warplanes replay file
dat	Game data file
g64	C64 emulator disk image file
gb	Nintendo Gameboy ROM image
gba	Nintendo Game Boy Advance ROM image
mbz	Pogoshell NES emulator plugin file
n64	Nintendo 64 Emulation ROM image file
nds	Nintendo DS game ROM image file
nes	Nintendo Entertainment System ROM image
rom	Read Only Memory image (emulators/AONs)
smc	Super Nintendo game-console ROM image
smd	Sega Genesis ROM emulator file
srm	Super Nintendo ROM saved game emulator file
v64	Nintendo 64 emulation ROM image file
ova	Open Virtual Machine Format single archive file
ovf	Open Virtualization Format Package
pvm	Parallels Desktop virtual machine file
vdi	VirtualBox disk image file
vhd	Virtual Hard Disk file
vmdk	VMware virtual disk file
vmem	VMware virtual machine's paging file
vmwarevm	VMware Fusion virtual machine
vmx	VMware configuration file
ashx	ASP.NET Web Handler file
asp	Active Server Page script page
aspx	Active Server Page Extended ASP.NET script file
atom	Atom web feed file
bc	BitTorrent unfinished download file
bc!	Bittorrent unfinished download file
crdownload	Google Chrome incomplete download file
css	Cascading Style Sheets file
dlc	JDownloader download link container
download	Chrome partial download file
download	Mozilla partial download file
download	Apple Safari partial download file
eml	Email message file
flv	Flash video file
gdoc	Link to Google Docs web application document
gif	Graphics interchange file format
gsheet	Link to Google Sheets web application spreadsheet document
gslides	Link to Google Slides web application presentation
htm	HTML Hypertext Markup Language web page file
html	HTML Hypertext Markup Language web page file
js	JavaScript file
json	JavaScript object notation file
jsp	JAVA Server page file
mht	Mime HTML (MHTML) file
opml	OPML Outline Processor Markup Language file format
part	Partial download file
partial	Microsoft Internet Explorer partially downloaded file
php	PHP script or page
png	Portable Network Graphic file
rss	Really Simple Syndication - RSS file format
swf	ShockWave Flash, Animated vector format for the Internet
torrent	BitTorrent information file
webm	Matroska WebM video file
webp	Google image file format
xap	Microsoft Windows Phone and Microsoft Silverlight application package file
xhtml	Extensible HTML file
xml	XML document file
xsd	XML schema description file
xsl	XML eXtensible stylesheet
xslt	XSL transform file
dbx	Microsoft Outlook Express e-mail folder file
eml	Email message file
ldif	LDIF address book interchange format file
mht	Mime HTML (MHTML) file
msg	Saved email message
pst	Microsoft Outlook personal storage table file
vcf	vCard file
app	MAC application package or core system service file
asp	Active Server Page script page
bat	Batch file (executable)
chm	Microsoft compiled HTML help file
cnt	Help Contents file
com	Command executable file
cpl	Microsoft Windows Control Panel file
eml	Email message file
exe	Program executable file
gadget	Windows sidebar gadget file
inf	Windows installation script file
js	JavaScript file
lnk	Windows Shortcut file
mdb	Microsoft Access database file
msi	Microsoft Windows Installer installation package
prg	Program file
reg	Windows registry data file
scr	Microsoft Windows screensaver file
shs	Microsoft Windows Shell Scrap Object file
tmp	Temporary file
vbs	Visual Basic script file
bat	Batch file (executable)
bin	CD/DVD binary image file
chm	Microsoft compiled HTML help file
class	Java bytecode class
com	Command executable file
cpl	Microsoft Windows Control Panel file
dll	Dynamic Link Library file
drv	Microsoft Windows device driver
exe	Program executable file
jar	Compressed archive file package for Java classes and data file
js	JavaScript file
lnk	Windows Shortcut file
ocx	ActiveX control file
pcx	Paintbrush bitmap image
scr	Microsoft Windows screensaver file
shs	Microsoft Windows Shell Scrap Object file
swf	ShockWave Flash, Animated vector format for the Internet
sys	System file
